Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
1882,63595534695861.7,60.00024000096,320,240,129,44,27,0,0,27,295,186,27,36,34,284,196,271,97,271,97,295,186,13,0,49
1883,63595534695882.7,60.00024000096,320,240,129,44,27,0,0,27,295,184,27,36,34,284,196,271,97,271,97,295,184,13,0,49
1884,63595534695906.7,60.00024000096,320,240,129,44,27,0,0,27,295,182,27,36,34,284,196,271,97,271,97,295,182,13,0,182
1885,63595534695930.7,60.00024000096,320,240,129,43,27,0,0,27,296,181,27,36,34,284,196,271,97,271,97,296,181,13,0,181
1886,63595534695952.7,60.00024000096,320,240,129,43,27,0,0,27,295,180,27,36,34,284,196,271,97,271,97,295,180,13,0,180
1887,63595534695975.7,60.00024000096,320,240,129,43,27,0,0,27,295,178,27,36,34,284,196,271,97,271,97,295,178,13,0,178
1888,63595534695996.7,60.00024000096,320,240,129,43,27,0,0,27,295,177,27,36,34,284,196,271,97,271,97,295,177,13,0,177
1889,63595534696020.7,60.00024000096,320,240,129,43,27,0,0,27,295,175,27,36,34,284,196,271,97,271,97,295,175,13,0,175
1890,63595534696043.7,60.00024000096,320,240,129,43,27,0,0,27,294,172,27,36,34,284,196,271,97,271,97,294,172,13,0,172
1891,63595534696064.7,60.00024000096,320,240,129,43,27,0,0,27,294,171,27,36,34,284,196,271,97,271,97,294,171,13,0,171
1892,63595534696087.7,60.00024000096,320,240,129,43,27,0,0,27,294,168,27,36,34,284,196,271,97,271,97,294,168,13,0,168
1893,63595534696108.7,60.00024000096,320,240,129,43,27,0,0,27,293,166,27,36,34,284,196,271,97,271,97,293,166,13,0,166
1894,63595534696130.7,60.00024000096,320,240,129,43,27,0,0,27,292,164,27,36,34,284,196,271,97,271,97,292,164,13,0,164
1895,63595534696154.7,60.00024000096,320,240,130,43,27,0,0,27,292,163,27,36,34,284,196,271,97,271,97,292,163,13,0,163
1896,63595534696178.7,60.00024000096,320,240,130,43,27,0,0,27,292,161,27,36,34,284,196,271,97,271,97,292,161,13,0,161
1897,63595534696199.7,60.00024000096,320,240,130,43,27,0,0,27,293,159,27,36,34,284,196,271,97,271,97,293,159,13,0,159
1898,63595534696223.7,60.00024000096,320,240,130,43,27,0,0,27,293,156,27,36,34,284,196,271,97,271,97,293,156,13,0,156
1899,63595534696245.7,60.00024000096,320,240,131,43,27,0,0,27,293,154,27,36,34,284,196,271,97,271,97,293,154,13,0,154
1900,63595534696270.7,60.00024000096,320,240,131,43,27,0,0,27,292,152,27,36,34,284,196,271,97,271,97,292,152,13,0,152
1901,63595534696291.7,60.00024000096,320,240,131,43,27,0,0,27,292,149,27,36,34,284,196,271,97,271,97,292,149,13,0,149
1902,63595534696314.7,60.00024000096,320,240,131,44,27,0,0,27,292,148,27,36,34,284,196,271,97,271,97,292,148,13,0,148
1903,63595534696339.7,60.00024000096,320,240,131,43,27,0,0,27,292,145,27,36,34,284,196,271,97,271,97,292,145,13,0,145
1904,63595534696362.7,60.00024000096,320,240,131,43,27,0,0,27,292,143,27,36,34,284,196,271,97,271,97,292,143,13,0,143
1905,63595534696400.7,60.00024000096,320,240,131,43,27,0,0,27,292,140,27,36,34,284,196,271,97,271,97,292,140,13,0,140
1906,63595534696422.7,60.00024000096,320,240,131,44,27,0,0,27,292,137,27,36,34,284,196,271,97,271,97,292,137,13,0,137
1907,63595534696447.7,60.00024000096,320,240,131,44,27,0,0,27,292,133,27,36,34,284,196,271,97,271,97,292,133,13,0,133
1908,63595534696470.7,60.00024000096,320,240,131,44,27,0,0,27,292,129,27,36,34,284,196,271,97,271,97,292,129,13,0,129
1909,63595534696494.7,60.00024000096,320,240,131,44,27,0,0,27,292,129,27,36,34,284,196,271,97,271,97,292,129,13,0,129
1910,63595534696518.7,60.00024000096,320,240,131,45,27,0,0,27,291,125,27,36,34,284,196,271,97,271,97,291,125,13,0,125
1911,63595534696547.7,60.00024000096,320,240,131,45,27,0,0,27,292,119,27,36,34,284,196,271,97,271,97,292,119,13,0,119
1912,63595534696570.7,60.00024000096,320,240,131,44,27,0,0,27,292,114,27,36,34,284,196,271,97,271,97,292,114,13,0,114
1913,63595534696592.7,60.00024000096,320,240,132,44,27,0,0,27,292,110,27,36,34,284,196,271,97,271,97,292,110,13,0,110
1914,63595534696619.7,60.00024000096,320,240,132,44,27,0,0,27,293,104,27,36,34,284,196,271,97,271,97,293,104,13,0,104
1915,63595534696646.7,60.00024000096,320,240,132,44,27,0,0,27,294,101,27,36,34,284,196,271,97,271,97,294,101,13,0,101
1916,63595534696671.7,60.00024000096,320,240,132,45,27,0,0,27,295,95,27,36,34,284,196,271,97,271,97,295,95,13,0,95
1917,63595534696700.7,60.00024000096,320,240,132,45,27,0,0,27,294,90,27,36,34,284,196,271,97,271,97,294,90,13,0,90
1918,63595534696728.7,60.00024000096,320,240,133,44,27,0,0,27,293,85,27,36,34,284,196,271,97,271,97,293,85,13,0,85
1919,63595534696750.7,60.00024000096,320,240,133,44,27,0,0,27,293,80,27,36,34,284,196,271,97,271,97,293,80,13,0,80
1920,63595534696775.7,60.00024000096,320,240,133,45,27,0,0,27,294,74,27,36,34,284,196,271,97,271,97,294,74,13,0,74
1921,63595534696801.7,60.00024000096,320,240,133,45,27,0,0,27,294,70,27,36,34,284,196,271,97,271,97,294,70,13,0,70
1922,63595534696827.7,60.00024000096,320,240,133,45,27,0,0,27,293,67,27,36,34,284,196,271,97,271,97,293,67,13,0,67
1923,63595534696857.7,60.00024000096,320,240,133,44,27,0,0,27,293,62,27,36,34,284,196,271,97,271,97,293,62,13,0,62
1924,63595534696885.7,60.00024000096,320,240,133,44,27,0,0,27,294,58,27,36,34,284,196,271,97,271,97,294,58,13,0,58
1925,63595534696914.7,60.00024000096,320,240,133,44,27,0,0,27,294,55,27,36,34,284,196,271,97,271,97,294,55,13,0,55
1926,63595534696946.7,60.00024000096,320,240,133,43,27,0,0,27,294,51,27,36,34,284,196,271,97,271,97,294,51,13,0,51
1927,63595534696970.7,60.00024000096,320,240,133,43,27,0,0,27,295,48,27,36,34,284,196,271,97,271,97,295,48,13,0,49
1928,63595534697003.7,60.00024000096,320,240,133,43,27,0,0,27,295,44,27,36,34,284,196,271,97,271,97,295,44,13,0,49
1929,63595534697027.7,60.00024000096,320,240,133,44,27,0,0,27,295,42,27,36,34,284,196,271,97,271,97,295,42,13,0,49
1930,63595534697052.7,60.00024000096,320,240,133,44,27,0,0,27,295,41,27,36,34,284,196,271,97,271,97,295,41,13,0,49
1931,63595534697078.7,60.00024000096,320,240,133,44,27,0,0,27,295,39,27,36,34,284,196,271,97,271,97,295,39,13,0,49
1932,63595534697103.7,60.00024000096,320,240,133,44,27,0,0,27,296,38,27,36,34,284,196,271,97,271,97,296,38,13,0,49
1933,63595534697128.7,60.00024000096,320,240,133,44,27,0,0,27,296,36,27,36,34,284,196,271,97,271,97,296,36,13,0,49
1934,63595534697152.7,60.00024000096,320,240,133,44,27,0,0,27,297,34,27,36,34,284,196,271,97,271,97,297,34,13,0,49
1935,63595534697175.8,60.00024000096,320,240,133,43,27,0,0,27,298,32,27,36,34,284,196,271,97,271,97,298,32,13,0,49
1936,63595534697201.7,60.00024000096,320,240,133,43,27,0,0,27,298,31,27,36,34,284,196,271,97,271,97,298,31,13,0,49
1937,63595534697224.7,60.00024000096,320,240,133,43,27,0,0,27,297,28,27,36,34,284,196,271,97,271,97,297,28,13,0,49
1938,63595534697249.7,60.00024000096,320,240,133,43,27,0,0,27,298,26,27,36,34,284,196,271,97,271,97,298,26,13,0,49
1939,63595534697277.8,60.00024000096,320,240,133,43,27,0,0,27,299,24,27,36,34,284,196,271,97,271,97,299,24,13,0,49
1940,63595534697301.8,60.00024000096,320,240,133,43,27,0,0,27,299,24,27,36,34,284,196,271,97,271,97,299,24,13,0,49
1941,63595534697329.8,60.00024000096,320,240,133,43,27,0,0,27,299,23,27,36,34,284,196,271,97,271,97,299,23,13,0,49
1942,63595534697350.8,60.00024000096,320,240,133,43,27,0,0,27,298,21,27,36,34,284,196,271,97,271,97,298,21,13,0,49
1943,63595534697375.8,60.00024000096,320,240,133,43,27,0,0,27,298,20,27,36,34,284,196,271,97,271,97,298,20,13,0,49
1944,63595534697401.8,60.00024000096,320,240,133,43,27,0,0,27,298,20,27,36,34,284,196,271,97,271,97,298,20,13,0,49
1945,63595534697427.8,60.00024000096,320,240,133,43,27,0,0,27,298,19,27,36,34,284,196,271,97,271,97,298,19,13,0,49
1946,63595534697451.8,60.00024000096,320,240,133,44,27,0,0,27,298,19,27,36,34,284,196,271,97,271,97,298,19,13,0,49
1947,63595534697473.8,60.00024000096,320,240,133,43,27,0,0,27,297,21,27,36,34,284,196,271,97,271,97,297,21,13,0,49
1948,63595534697498.8,60.00024000096,320,240,133,44,27,0,0,27,298,21,27,36,34,284,196,271,97,271,97,298,21,13,0,49
1949,63595534697522.8,60.00024000096,320,240,133,44,27,0,0,27,299,23,27,36,34,284,196,271,97,271,97,299,23,13,0,49
1950,63595534697547.8,60.00024000096,320,240,133,44,27,0,0,27,300,28,27,36,34,284,196,271,97,271,97,300,28,13,0,49
1951,63595534697569.8,60.00024000096,320,240,133,44,27,0,0,27,300,28,27,36,34,284,196,271,97,271,97,300,28,13,0,49
1952,63595534697594.8,60.00024000096,320,240,133,44,27,0,0,27,302,37,27,36,34,284,196,271,97,271,97,302,37,13,0,49
1953,63595534697616.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1954,63595534697640.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1955,63595534697660.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1956,63595534697686.8,60.00024000096,320,240,133,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1957,63595534697710.8,60.00024000096,320,240,133,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1958,63595534697735.8,60.00024000096,320,240,133,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1959,63595534697760.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1960,63595534697784.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1961,63595534697811.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1962,63595534697838.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1963,63595534697864.8,60.00024000096,320,240,133,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1964,63595534697889.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1965,63595534697912.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1966,63595534697936.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1967,63595534697956.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1968,63595534697979.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1969,63595534698003.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1970,63595534698026.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1971,63595534698046.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1972,63595534698070.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1973,63595534698092.8,60.00024000096,320,240,133,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1974,63595534698122.8,60.00024000096,320,240,133,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1975,63595534698146.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1976,63595534698167.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1977,63595534698195.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1978,63595534698217.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1979,63595534698243.8,60.00024000096,320,240,133,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1980,63595534698267.8,60.00024000096,320,240,132,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1981,63595534698288.8,60.00024000096,320,240,132,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1982,63595534698312.8,60.00024000096,320,240,132,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1983,63595534698336.8,60.00024000096,320,240,132,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1984,63595534698357.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1985,63595534698377.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1986,63595534698400.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1987,63595534698422.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1988,63595534698466.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1989,63595534698489.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1990,63595534698526.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1991,63595534698547.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1992,63595534698572.8,60.00024000096,320,240,131,45,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1993,63595534698594.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1994,63595534698616.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1995,63595534698639.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1996,63595534698659.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1997,63595534698683.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1998,63595534698705.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
1999,63595534698728.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2000,63595534698752.8,60.00024000096,320,240,131,44,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2001,63595534698772.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2002,63595534698792.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2003,63595534698813.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2004,63595534698835.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
2005,63595534698857.8,60.00024000096,320,240,131,43,27,0,0,27,305,47,27,36,34,284,196,271,97,271,97,305,47,13,0,49
